,commercial_name,business_tags,short_descripti,description,main_business_category,naics
0,Focus Recruit,Medical Recruitment Services | Staff Recruitment for Disability Centers | Disability Support Workers Recruiters | Acute Care Staffing | Nursing Assistant | Healthcare Recruitment Agency | Registered Nurses | Aged Care Recruitments | Health Care Recruitruitments | Acute Care Recruitrer | Patient Care | Healthcare Consulting Services | Staffing Services | Clinical Competency | Healthcare Staff Training and Development | Better Patient Outcomes Solutions | Aged Care Staffing Solutions | Veteran Community Staffing,"Focus Recruit is a leading healthcare recruitment agency located in Perth, known for its quality of service.","Focus Recruit is a prominent healthcare recruitment agency based in Perth, known for its exceptional service. With a strong reputation and a proven track record of success, the company is highly regarded by its clients. Their team of experienced and qualified healthcare consultants, with extensive expertise in various fields, work closely with businesses and organizations to identify the ideal candidates for their needs. Focus Recruit specializes in finding top healthcare professionals in the industry, ensuring high-quality patient care and improving patient outcomes. They prioritize understanding the individual requirements of both candidates and clients, guaranteeing professional and timely satisfaction, exceeding expectations for both parties. The company values the trust placed in them by both candidates, candidates, and clients.",Employment Agencies & HR Consulting,561 Administrative and Support Services
1,Advisory Care,Hygiene Services | One-on-one Attention and Care | Meal Preparation Services | Daily Living Assistance | Physical Disability Support | Home Health Aide Services | Supervision Services,"Advisory Care is a home health care services provider based in Violet Town, Australia.","Advisory Care Pty Ltd is a company that provides support for people with disabilities. They specialize in care and daily living assistance to individuals who require assistance due to aging, illness, recovery, or rehabilitation. Their experienced and supportive caregivers offer personalized care plans that include meal preparation, hygiene, cleaning, supervision, and other daily services. Companionship is a key aspect of their care, as they strive to develop a caring relationship with their clients and provide one-on-one attention and care. They also offer physical disability support for individuals with arthritis, physical disabilities, and age-related conditions.",Home Health Care,621 Ambulatory Health Care Services
2,PPK Mining Equipment,High & Low Seam Drills | Ventilation Solutions | Stone Dusting Machines | Mining Equipment Maintenance | Lubrication Solutions | AFC Mounted Longwall Face Drill | Water Separators | Mining Consumables | Rib Drills Manufacturer | General-purpose Motors | Tool and Consumable Manufacturing | ISO 9001 Quality Management System | Equipment Support Units | Radial Drill Rig | Drilling and Boring Tools | Capital Equipment | Equipment Manufacturer | Equipment Maintenance | Underground Products | Reduction Motors | Design Services | Spares & Parts | Pumps and Mixers Manufacturer | Diesel Division | H-bar Drills Supplier | Static Grout Pumps | Support Center Services | Grouting Solutions,"PPK Mining Equipment is the solution partner of choice for quality, market-leading products that service and support the mining industry.","PPK Mining Equipment is a company that specializes in providing quality and market-leading products for the mining industry. As part of the PPK Group Ltd, they are an original equipment manufacturer (OEM) and offer maintenance, repair, and overhaul services for plant and equipment, tooling, and consumables. With a manufacturing and service center in Tomago, NSW, and a service and support center in Port Kembla, Wollongong, as well as a smaller service center at Mt Thorley in the Hunter Valley coal fields, they have a team of around 150 highly trained experts. All design and service work is independently certified to ISO Quality Management System.",Mining & Gas Exploration,213 Support Activities for Mining
3,First Tracks Lawn Care,Weekly Mowing | Driveway Plowing Services | Mulching Beds | Lawn Overseeding | Dressing Services | Property Maintenance Plans | Dethatching Services | Small Landscaping Projects | Tree Limbing | Irrigation Startup/blowout and Maintenance | Spring and Fall Clean-up Services | Snow Services | Sanding and Salting | Brush Removal | Landscaping Services | Aeration Services,"First Tracks Lawn Care, LLC prides itself on perfection and follow through to the customer. Irrigation main is shutdown and drained.","First Tracks Lawn Care, LLC is a lawn care company that offers a range of services including spring/fall clean up, dethatching, aeration, weekly mowing, overseeding, top dressing, and small landscaping projects. They offer snow management services such as driveway plowing, deck snowblowing, and shoveling, as well as salting and sanding. The owner, Matt, is a professional Jackson Hole Ski Patroller in the winter and takes pride in being prepared for any task.",Landscaping & Lawn Services,561 Administrative and Support Services
4,New Golden Furnishers,Staff Task Computer Chairs Supplier | Mesh Back Chairs Manufacturer | School Furniture | Auditorium Chairs with Writing Tablet Seats | Imported Standard School Desk Furniture Supplier/retailer | Two-seater Desks | Revolving Chairs | Modular Workstations | Writing Arm Chairs | College Furniture Manufacturer | Metal Chairs | Furniture Manufacturing | Double Desks Supplier | School Benches,"New Golden Furnishers Co - Manufacturer of Double Cushion Doblepiel Executive High Back Brown Chair, Stainless Steel School College Furniture Observer - Double Senior, Single Seater Classroom Desk, Butterfy Model Kids Chair with Metal Frame and PP Shell and Office & Commercial Furniture in Sadar Bazaar, New Delhi, Delhi","New Golden Furnishers Co is a furniture manufacturer based in New Delhi, India. They specialize in producing office chairs, double desks, school and college furniture, single seat desks, kids school furniture, workstations, cafe furniture, and other related items. Their products include writing arm chairs, auditorium furniture, study and computer tables, office tables, school furniture such as library furniture, visitor fix chairs, and high back office chairs. They also offer metal office furniture, stainless steel chairs, sofas, blood donor chairs, restaurant tables, and chairs, as well as institutional furniture. The company is known for its elegant designs and comfortable seating positions, and their products are widely used in schools and colleges worldwide.",Office Furniture,337 Furniture and Related Product Manufacturing
5,Lilac City Septic,Clean-Out Installation | Line Replacement Services | Septic System Maintenance | Tank Certifications | Grease Trap Cleaning | Septic Excavation | Drain Field Repair | Baffle Replacement | Filter Cleaning Services | Riser Installation Services,Lilac City Septic services residential & commercial septic systems tanks repair pumping installation in Spokane Washington & surrounding areas,"Lilac City Septic Services Co is a family-owned and operated business that has been providing septic services to Spokane and the surrounding areas for 30 years. They offer a range of septic maintenance and repair services, including regular maintenance, baffle replacement and cleaning, septic tank pumping, filter cleaning, drain field repair, grease trap cleaning, line replacement, riser installation, and all septic excavation projects. The company emphasizes the importance of regular inspection and maintenance of septic systems to ensure they function properly and save money in repairs. Lilac City Sepic Services is experienced in inspecting, pumping, cleaning, maintaining, repairing, and certifying septic holding tanks to ensure their integrity. They advise against using additives like Rid-X to maintain a healthy bacterial ecology in septic tanks and recommend regular maintenance to avoid costly repairs.",Garbage Collection & Waste Disposal,562 Waste Management and Remediation Services
6,TTT Industries,Home Equity Consulting Services | Ceramic and Graphene Automotive Coating Services | Residential and Commercial Painting | Fully Licensed and Insured,TTT Industries offers professional residential & business painting services as well as Ceramic & Graphene automotive coating with a focus on proper application methods and customer satisfaction.,"TTT Industries is a professional painting and coating company based in Hawaii that offers residential and business painting services, as well as ceramic and graphene automotive coating. With over two decades of experience, the company prides itself on attention to detail and quality craftsmanship, using high-quality products and proper application methods to ensure customer satisfaction. TTT Industries also offers home equity consulting services to help clients bring in extra money with the sale of their property. The company's team is known for being honest, reliable, professional, and knowledgeable about painting and coatings applications.","Painting, Plastering & Wall Covering",238 Specialty Trade Contractors
7,Rocks on the River,Shrimp and Grits | Food and Beverage Services | Fried Green Tomatoes with Pimento Cheese | Private Dining Room | Cornbread | Charming Scenery | Regional Dishes | Fresh and Seasonal Ingredients | Artistic Dining Experience | Brunch Services | Southern Cuisine,"Allow the unmistakable aroma of classic comfort foods to lure you off the vibrant River Street and into Rocks on the River, a local favorite in Savannah.","Rocks on the River is a restaurant located in Savannah, Georgia that offers Southern-inspired dishes made with fresh, seasonal ingredients. The restaurant is situated at The Bohemian Hotel Savannah Riverfront and offers scenic views of the cobblestoned riverside district. The menu features classic comfort foods with a New American twist, including dishes such as fried green tomatoes with pimento cheese, country cornbread, and shrimp and grits. The establishment also offers private dining spaces for special occasions.",Restaurants,722 Food Services and Drinking Places
8,Cake Me Away,Bakery Services | Food and Beverage | Pickup Services | Custom Decorated Sugar Cookies | Decorated Cakes and Cupcakes,"Cake Me Away - Fresno Bakery Cake Me Away serving the Fresno/Clovis area with made from scratch (and hand decorated) cakes, cupcakes, sugar cookies and more for all occasions.","Cake Me Away is a bakery located in Fresno, California that specializes in handmade cakes, cupcakes, sugar cookies, and other baked goods. They offer a variety of treats for all occasions, including birthdays and holidays such as Independence Day and Independence Day. Customers have praised the bakery for their delicious and visually appealing products. Cake Me Away also offers custom cookie designs for special events.",Bakeries & Desserts,445 Food and Beverage Retailers
9,Saadzoi Law,Legal Representation | Immigration Services | Criminal Defense Services | DUI Defense Services | Legal Representation for Immigration Cases | PFA Defense Services | Defense against Robbery and Burglary | Defense Strategies | Pennsylvania Criminal Defense Services | Criminal Record Expungement | Legal Services | Bench Warrants Defense | Defense Services for Underage Drinking | Free Criminal Case Evaluation | Visa and Citizenship Assistance | Defense Services | Veterans Court Defense | Law Firm | DUI Defense Representation | Criminal Defense Attorneys | Criminal Defense Representation | Pennsylvania ARD Program Defense | Theft Defense | Defense Representation | Record Sealing Defense | Restraining Order Lifting Services | DUI and Immigration Law Services | Terrorist Threats and Harassment | Defense during PFA Violations,Saadzoi Law can help you navigate the legal system to reach a positive outcome for you or your family.,"Wana Saadzoi Law is a law firm based in Southeastern Pennsylvania that specializes in criminal defense law and immigration law. The firm is led by Attorney Wana Saardzoi, a former prosecutor and experienced criminal lawyer who focuses on DUI law, sex crimes, and theft. She is known for her aggressive representation of clients and her commitment to keeping her clients' records clean while fighting for their charges to be reduced or dropped altogether. In addition to criminal defense, the firm also offers immigration law services to help immigrants understand their rights and exercise them under U.S. law. Wana's unique background and experiences make her qualified and experienced to represent clients and build a strong case for them to achieve positive results.",Criminal Justice Attorneys,"541 Professional, Scientific, and Technical Services"
10,Harlequin Designs,Personalization Services | Embroidered Workwear | Safety Wear | Branded Clothing | Hooded Sweatshirts | Digitized and Stitched Designs | High-tech Machinery | Personalization of Uniforms with Company Logos | Hand Finishing | Digitizing Equipment | Polo Shirts,"Harlequin Designs produced embroidered workwear, including polos, t-shirts, fleeces, hoodies, hats, trousers, safety wear. Call 01827 66588 for a free quote.","Harlequin Designs is a family-owned business based in Staffordshire that specializes in producing high-quality personalized clothing, including embroidered workwear and uniforms. They offer a wide range of products, including polos, t-shirts, fleeces, hoodies, hats, trousers, and safety wear, all of which are produced to high standards to ensure durability. The company uses the latest high-tech machinery and digitizing equipment to digitize designs for stitching onto virtually any garment, ensuring a long-lasting permanence that will not fade. In addition to embroidery, Harlequin designs also offers badges for attachment and prints onto garments. They cater to all activities in sportswear, leisure wear, and workwear, from bridal gowns to boiler suits.",Work Clothing & Protection Equipment,313 Textile Mills
11,OIC DEVAGIRI,"Strategic Education | Academic and Cultural Exchange | Academic Exchange Programs | Capacity Building Program | Global Trade and Security Strategy | Professional Certifications | Intelligence as A Service | Modular Learning Environment | Capacity-building Workshops, Seminars, and Courses","The Intelligence Research Institute (IRI) is continuously monitoring events, aggregating information, conducting analysis, and formalizing content into briefings to fulfill its vision of providing intelligence as a service.","The Office of International Collaboration (OIC) Devagiri, also known as OIC Devagiris, is an organization that aims to enhance global partnerships through academic and cultural exchange. Their mission is to advance the discovery of new knowledge, innovative technology development, strategic education, and professional training to strengthen communities through a positive and productive approach. OIC devagiri has established agreements with prestigious universities and institutes from around the world, including the Intelligence Research Institute (IRI) San Diego (Usa), Virginia Commonwealth University (Vcu), UniversitiTeknologi Mara, Selangor Malaysia, ACCA (Association of Chartered Certified Accountants), CMA (Certified Management Accountant) US & IMA (Institute of Management Accountants). OIC's mission is for students, faculty, and professionals to tackle emerging challenges and future requirements with proactive approaches.",Research Institutes,"541 Professional, Scientific, and Technical Services"
12,Reliable IT School,IT Training Institute | Placement Assistance | Aptitude Tests | Resume Preparation | Educational | Cyber Security | Measurable Return on Education | Continuous and Blended Learning | Software Testing Training | Cloud Computing Solutions | Microsoft Excel Training | Data Science | Ruby on Rails Training | Data Analytics Training | Corporate Education Value Chain | Digital Marketing | Interview Calls | SAP HANA Training | Python Full Stack Training | Spoken English | Hands-on Training | Mock Interviews | Java Frameworks Training | HR Practical Classes | SAP HANA | Software Testing | Full Stack Java Development | Salesforce Training | Microsoft Azure | Salesforce | Flexible Class Timings | Learning Strategies | .NET Development,Reliable Training Institute provides several types of courses including basic and advanced IT courses.,"Reliable Training Institute is a company that specializes in providing continuous blended learning and corporate education solutions. They offer a range of services including placement assistance, hands-on training, affordable fees, and flexible class timings. With over 16 years of experience, Reliable IT School has been recognized for its academic excellence and has received awards for its SAP Institute at the 6th Asia-Africa Award of Excellence. They have expertise in various technologies such as SAP, software testing, Java and Python full stack, cloud computing, cyber security, and more. Reliable Training offers industry-focused programs to help individuals upskill and secure their dream jobs.",Computer Training Schools,611 Educational Services
13,Oblique Aqua,Specialty Additives | Descalants and Antiscalants | Non-oxidizing Biocides | Chemical Nutrients | Unique Products Manufacturing | Cooling Tower Water Treatment | Engineering Services | Sustainability Solutions | Chemical Defoamers | Scale and Corrosion Inhibitors | RO Water Treatment Systems | Ph Boosters | Cost & Savings | Boiler Water Treatment Chemicals | Decoloring Agents | Customized Solutions for Clients | Heat Exchanger Cleaning | Chemical Neutralizers | Safe and Efficient Water Treatment Solutions,Oblique Aqua Engineering Ltd. – 1st Water Treatment Chemical Manufacturer in Bangladesh.,"Oblique Aqua Engineering Limited is a company that operates in various industries and sectors, with the help of foreign and local experts. Their primary business objective is to provide customized solutions for clients, specializing in ensuring safe and efficient water systems. They offer water treatment programs designed to help customers save money, energy, and water while protecting their infrastructure. With a creative and collaborative approach, Oblique seeks the most current and effective solutions for each project. They also manufacture their own unique products tailored to specific applications, providing a wide range of options. Their experienced team is highly trained and can identify and deliver cost savings on energy. Environmental sustainability is a key principle that underpins all their business practices, and they pride themselves on providing eco-friendly solutions to minimize environmental impact and reduce clients' carbon footprint.",Chemicals,325 Chemical Manufacturing
14,Water N Fire Recovery,Coronavirus Cleaning | Cleaning Services for Dorm Rooms | Dry Ice Cleaning | Mold Removal Services | Water Extraction and Restoration Services | Roof Shrink Wrap Services | 24-hour Emergency Water Damage Restoration Services | Air Duct Cleaning,"Water N Fire Recovery has over 10 years of experience in the industry and offers professional restoration services to residential and commercial properties. Our restoration services include 24-hour emergency water damage restoration, fire damage restoration, smoke damage restoration, mold removal/remediation, and more. Our professional services go above restoration. As homeowners ourselves, we understand how emotionally","Water N Fire Recovery is a professional restoration company with over 10 years of experience in the industry. They offer a range of services to residential and commercial properties, including 24-hour emergency water damage restoration, fire damage restoration and restoration, smoke damage restoration/mediation, mold removal/remediation and more. Their storm damage restoration service provides 24/7 emergency response, expert repairs, and efficient restoration using state-of-the-art equipment. They also offer coronavirus disinfection and sanitation services for both residential and business locations. The company is dedicated to assisting homeowners and businesses through the sometimes complicated process of a disaster loss.",Damage Restoration & Mold Remediation,562 Waste Management and Remediation Services
15,Venus Cosmetic Surgery,Breast Augmentation | Cosmetic Surgery | Board Certified in Abdominal Surgery | Depression Filling | Skin Tightening | Chin Augmentation | Tear Trough | Face Slimming | Fat Transfer Techniques | Hyaluronic Acid Rhinoplasty | BBL Rhinoplasty | Full Apples | Tummy Tucks | Medical Aesthetic Consulting | Korean Double Eyelid | Skin Texture Change | Tummy Tucks before and after Surgery | High Efficiency Whitening | Plastic Surgery Services | Leg Slimming Services | Breast Reduction | Abdomen Tightening and Reshaping | Free Consultation and Analysis | Comprehensive Nose | Eye Enlargement | Facial Lift Ultrasound Knife | Wrinkle Reduction | Breast Lifting | Smooth Lines | Aesthetic Procedures,Venus Cosmetic Surgery helps enhance and rejuvenate your beauty to mirror the reflection you desire.,"Venus Cosmetic Surgery is a company that specializes in enhancing and rejuvenating physical appearance through plastic surgery procedures. They offer a range of services including breast augmentation, breast reduction, Tummy Tuck, liposuction, BBL, rhinoplasty, and more. With state-of-the-art equipment and highly skilled plastic surgeons, they prioritize safety, comfort, and personalized care for their patients. The first consultation and evaluation is always free.",Plastic Surgery Clinics,621 Ambulatory Health Care Services
16,Lavish Looks,"Bridal Hair Services | Personal Care Services | Hair Coloring Services | Eyebrow Shaping | Professional Olaplex Hair Wash | Wash, Cut, and Blowdry Services | Beauty Treatments | Female Intimate Waxing Services | Childrens Hair Services | Resurfacing Wash | Professional Blow Dryer | Balayage Hair Coloring","Experience a rejuvenating wash, precise cut, and professional blow dry at Lavish Looks Hair Salon. Our skilled stylists will leave you feeling fabulous and ready to take on the world. so lets get booking wash cut blow dry or even try to new olaplex hair treatment","Lavish Looks Hair Salon is a beauty salon that offers a range of hair services including wash, cut, and blow-dry treatments. Their skilled stylists provide precise cuts and professional blow dry services to leave clients feeling fabulous and ready to take on the world. They also offer Olaplex hair treatment wash and waxing services. The salon provides a variety of beauty treatments for both men and women, including wedding and bridal hair by appointment. Additionally, they offer a blow-dry bar every Wednesday for £20.",Beauty Salons,812 Personal and Laundry Services
17,Smart Training and Consultancy,Training and Consulting Services | Serious Group Violence Training | De-escalation Conflict Training Services Provision | Zone Learning | Adult Mentors | Interactive Training Services | Action Learning Sessions | County Lines Training | Action Learning Facilitation,"Welcome to SMART Training and Consultancy. We are an exciting and innovative company which delivers high quality, interactive training and consultancy services to support and improve people, practice and policy with regards to outcomes achieved for young","SMART Training and Consultancy is a company that provides high-quality, interactive training and consultancy services to support and improve interactions, people, practice, and policy to achieve better outcomes for young people. They offer a range of packages including Gangs and Serious Youth Violence Training, County Lines Training, De-escalation Conflict training, Action Learning Sessions, and actual Consultancy Time to resolve issues at both 'front-line' and strategic levels. The company delivers dynamic and interactive training on key issues such as Recognising and responding to Serious Youth and Group Violence, Managing Challenging Behaviour and Conflict, and Recognising & responding to Sexual Exploitation. They also provide Action Learning Facilitation as a development to their training courses and as a service for organizations who are looking for long-term solutions to complex problems. The consultancy services are there to provide ongoing assistance and support to both practitioners and organizations.","Learning, Tutoring & Courses",611 Educational Services
18,Kids & Giggles,State Nutrition Program | Age-appropriate Activities | Meals Included in Meals | Comprehensive Childcare Services | Creative Curriculum | Toddlers Program | Nurturing Classrooms | Kindergarten Preparation | After-school Activities | Energy Club | Close and Personal Attention | School-age before and After-school Care | Summer Camp Program | Preschool Education Services | Safe and Secure Child Care | Play-based Center | Student Screenings | Kindergarten Readiness | Summer Programs | Parent Teacher Conference,Kids & Giggles aims to offer safe and secure child care at all times.,"Kids & Giggles is a comprehensive child care center that has been serving families in the Wayne County area since 1972. The center provides modern classrooms and playgrounds with professionally trained educators. They offer a range of classes and programs for infants, toddlers, preschoolers, and school-age children, including before, after school, and summer camp, student screenings, parent-teacher conferences, creative curriculum, kindergarten readiness, and meals for all ages. Kids & Gigsles also participates in the state food/nutrition program and provides transportation to elementary schools. For more information on full-time, part-time or occasional care, interested individuals can contact or visit the center.",Daycare Centers,624 Social Assistance
19,Fcoustic,Architectural Office Solutions | 3D Panels | Research and Development | Fabric Wrapped Panels | Acoustical Lampshades | Acoustical Ceiling | Sound Absorbers Manufacturer,"FCOUSTIC is a professional leader China Polyester fiber acoutsic panel, PET acoustic panel, Wooden veneer slats acoustic panel manufacturer with high quality and reasonable price. Welcome to contact us.","Suzhou Fcoustic Eco & Tec Co., Ltd, also known as Fcoustic, is a Chinese company that specializes in manufacturing eco-friendly PET acoustic panels and related acoustic products. They offer a range of products including polyester fiber acoustic panels, wooden veneer slats acoustic panels for office furniture, acoustic office furniture 3D cube panels, acoustic ceilings, acoustic lampshades, fabric wrapped panels, printing polyester panels, and acoustic felt. Their acoustic panels are made from 100% polyester fibers through needle punching processing and are suitable for use in various applications such as acoustic carving panels, print panels, embossed tiles, hanging ceilings, screens, room partitions, and workstations. The company has a professional technical and sales team, extensive export experience, over 50 employees, 2 production lines, and 10+ kinds of processing and thermoforming machines.",Building Material Manufacturers,326 Plastics and Rubber Products Manufacturing
20,Accurate Profile Pipe Fabrication,Consultation Services | Pre-engineered Fire Protection Systems | World-class Pipe Fabrication | Steel Pipe Manufacturing | ISO Certified Processes | Precision Engineering | Precision Welding,Accurate Profile Pipe Fabrication Pty Ltd uses State of the Art pipe fabrication techniques designed by leading engineers in the fire protection field.,"Accurate Profile Pipe Fabrication Pty Ltd is an Australian company that specializes in manufacturing steel pipe for fire protection systems. They use state-of-the-art fabrication techniques designed by leading engineers in the fire protection field to create custom pipes for projects of all sizes, from industrial warehouses to large commercial complexes. With over 20 years of experience in the industry, they have earned a reputation for high-quality products, competitive pricing, and excellent customer service. Their team of professional welders and fabricators can produce accurately engineered fire protection fire protection solutions using superior techniques and innovative efficiencies. Accurate Profile also offers consultation services with industry specialists who can provide advice and appraisals for the fabrication of all pipe and fittings. They supply pipe for complex projects to large-scale warehouses and can provide a pipe fabrication solution to suit any project.","Pipes, Tubes, Fittings & Valves",332 Fabricated Metal Product Manufacturing
21,Dr. Stitch,Direct To Garment Printing | Fabric and Garment Manufacturing | Dye Sublimation Printing,"Established in 1997, Dr. Stitch Sdn. Bhd. offers high quality embroidery, direct-to-garment and dye-sublimation printing services.","Dr. Stitch Sdn. Bhd., a subsidiary of Rand Group Company, is a leading textile and garment manufacturer and distributor in Malaysia. Established in 1997, the company specializes in providing high-quality embroidery, direct-to-garment, and dye-sublimation printing services. Their clientele includes government-linked corporations, non-governmental organizations, and multinational corporations. Dr. Stitched's associate company, Rand Asia Sdn Bhd, is the first company in Malaysia to win several international embroidering competitions. They offer embroideries and dye sublimation services on fabrics of the client's choice.",Fabric-Based Home Goods,313 Textile Mills
22,Maveric Medical,Blood Collection Equipment | Manufacturing | Healthcare Products and Solutions | Acute Care Medical Devices | Healthcare Products | Medical Device Marketing | Leukocyte Reduction Devices,"Maveric Medical is a medical device sales, marketing, and manufacturing company with a focus on bringing new technologies to market.","Maveric Medical is a medical device sales, marketing, and manufacturing company that specializes in bringing new technologies to the market. With over 20 years of experience in medical distribution and manufacturing, the company partners with world-class suppliers to manufacture quality medical devices. Their product portfolio includes devices for laboratory, acute care, and post-acute care markets. Maveric Medical's expertise in the healthcare industry and understanding of the medical distribution channel allows them to quickly navigate opportunities and bring products to market. The company is passionate about building relationships and growing businesses in the medical space.",Medical Supply Manufacturers,339 Miscellaneous Manufacturing
23,Graham Tree Service,Tree Trimming Services | Stump Grinding Services | Arborist Reports Services,"Graham Tree Service serves the greater Bay Area, providing services such as tree trimming, tree removal, and arborist reports.","Graham Tree Service is a professional tree care company that offers a range of services to clients in the greater Bay Area, including Oakland, San Francisco, and San Ramon. Their services include tree trimming, tree removal, and arborist reports. They specialize in difficult tree removals and have over 40 years of experience in the field. Graham Tree Service serves various cities in the Bay Area such as Alameda, Berkeley, Castro Valley, Concord, Danville, Dublin, El Cerrito, El Sobrante, Fremont, Hayward, Oakland, Orinda, Pleasanton, San Leandro, San Mateo, and Walnut Creek.",Landscaping & Lawn Services,561 Administrative and Support Services
24,The Spicy Shark,Spicy Condiments | Spiced Gear | Hot Honey | Condiments Manufacturer | Gluten-free Options | Dairy-free Options | Wing Sauces | Hot Syrups | Hot Sauce Production | All-natural Ingredients | Hot Sauces Manufacturer | Sriracha Sauce,"Our story combines our founders two passions. The love of spicy food and sharks. Thus, The Spicy Shark Hot Sauce and Spicy Condiments business was born.","The Spicy Shark is a New England-based company that specializes in crafting craft hot sauce and spicy condiments. Their products include hot sauces, Sriracha, wing sauce, hot syrups, hot honey, and spicy gear. The company prides itself on using all-natural, mindfully selected ingredients that are locally sourced from the USA and organic whenever possible. All of their products are gluten-free and dairy-free. The Spicy sharks are handcrafted and never contain artificial preservatives, colors, flavors, or pepper extracts. The founder, Gabe, grew up in the restaurant business and has 17 years of experience in the beer industry. The family is passionate about hot sauce, spicy food, and making a positive impact on the world.","Spices, Condiments & Sauces",311 Food Manufacturing
25,Pedsplus Pediatrics,Acceptance of Most Insurance Plans | 24/7 Urgent Care Services for Children | Primary Care Services for Children | Healthcare Services | Same-day Physical Exams | High Speed Digital X-ray | Lab & Facilities,"At Pedsplus Pediatrics Primary Care & Urgent Care, we pledge to provide excellent medical care to kids and children.","Pedsplus Pediatrics Primary Care & Urgent Care is a medical facility that provides excellent medical care to children and youth aged 0-21 years. They offer both primary care and after-hours urgent care services, with separate waiting rooms and exam rooms for well and sick/urgent care visits. Their walk-in Pediatric Urgent care is equipped with state-of-the-art laboratory facilities and a high-speed digital x-ray for immediate results. The practice is staffed by dedicated board certified pediatricians and nurse practitioners with extensive experience in pediatric emergency care, urgent care, primary care, and hospitalization care. Pedsplus is open 7 days a week, mornings, evenings, weekends, and holidays, and offers extended hours for parents to take their children to urgent medical care for a wide variety of illnesses and injuries. However, children with life-threatening conditions should be immediately rushed to the emergency room.",Pediatrists,621 Ambulatory Health Care Services
26,Cahoots,Coworking Space Experience | Event Venue Services | Dedicated Workspace | Office Management | Conference Room Rental | Community-first Philosophy | Breakout Spaces | Tech Hub Services | Short-term Leases | Learning and Networking Opportunities | Mentorship Programs | Event Space Rental | Locally Sourced Coffee,Cahoots is a coworking space and event venue in downtown Ann Arbor dedicated to amplifying the vibrant entrepreneur and tech community.,"Cahoots is a coworking space and event venue located in downtown Ann Arbor, Michigan. The company is dedicated to amplifying the vibrant entrepreneur and tech community in the area. Cahoots offers a premium coworking experience, conference room rentals, and an exceptional event space designed to serve the vibrant Ann Arbor community. The space is designed to facilitate networking and learning, while providing an inspiring environment for creativity and collaboration. Cahoot is a gathering place, event venue, and coffee shop, but most of all, it is a community that draws startups, businesses, and individuals to work side-by-side and support each other's growth. The building's layout is designed with thoughtful and interesting design sensibilities, emphasizing the spirit of collaboration.",Real Estate Investment,531 Real Estate
27,JPS International,Education Promotion | Non-profit Organization | Empowerment Programs | Healthcare Services for The Underprivileged | Health And Hygiene | Human Rights Advocacy | Tree Plantation Project Services | Healthy Living Conditions | Homelessness Support Services | Water Purification Systems Installation and Maintenance | Free Medicines | Medical Camps,"In 2006, JPS International has been relentlessly working towards achieving equal human rights and providing healthy living conditions to people. Call now !","JPS International, also known as JPS Medaid, is a non-governmental organization (NGO) based in Kolkata, India. Founded in 2006 by Mr. Subrata Saha, the organization aims to achieve equal human rights and provide healthy living conditions to people from deprived strata of society. JPS International has expanded its services to various parts of West Bengal, Orissa, and Nepal, including Purulia, Haripal, Bankura, and East & West Burdwan. The organization conducts free eye and general medical camps, tree plantation/gardening, and installs water purification systems in rural schools. Jpsmedaid is committed to creating a healthy society for those who cannot claim their rights.",Social Services & NGOs,"813 Religious, Grantmaking, Civic, Professional, and Similar Organizations"
28,StandOut Graphics,"Digital Wallcoverings | Self-adhesive Vinyl, Window & Floor Graphics | Large Prints | Floor Graphics Printing | Precision Cutting Machines | Window Graphics | Visual Advertising | Banner Tension Systems | On-site Installation Services | Large Format Printing Projects | Roll Media Printing | Fine Art Canvas Print | State of The Art Equipment | Hoarding and Health & Safety Signage","StandOut Graphics specialise in bespoke large-format printing projects. We offer Art and canvas printing, Direct printing onto roll media and many more.",StandOut Graphics is a company based in Leicestershire that specializes in creating custom large-format printing projects. Their team of printing specialists utilizes state-of-the-art equipment in their newly-refurbished printing studio.,Commercial Printing,323 Printing and Related Support Activities
